word,lemma
jai,jaoya
jao,jaoya
jay,jaoya
jan,jaoya
jas,jaoya
jacchi,jaoya
jaccho,jaoya
jacche,jaoya
jacchen,jaoya
jacchis,jaoya
giechi,jaoya
giecho,jaoya
gieche,jaoya
giechen,jaoya
giechis,jaoya
ja,jaoya
gelam,jaoya
gele,jaoya
gelo,jaoya
gelen,jaoya
geli,jaoya
jetam,jaoya
jete,jaoya
jeto,jaoya
jeten,jaoya
jeti,jaoya
jacchilam,jaoya
jacchile,jaoya
jacchilo,jaoya
jacchilen,jaoya
jacchili,jaoya
giechilam,jaoya
giechile,jaoya
giechilo,jaoya
giechilen,jaoya
giechili,jaoya
jabo,jaoya
jabe,jaoya
jaben,jaoya
jabi,jaoya
khai,khaoya
khao,khaoya
khay,khaoya
khan,khaoya
khas,khaoya
khacchi,khaoya
khaccho,khaoya
khacche,khaoya
khacchen,khaoya
khacchis,khaoya
kheyechi,khaoya
kheyecho,khaoya
kheyeche,khaoya
kheyechen,khaoya
kheyechis,khaoya
kha,khaoya
khelam,khaoya
khele,khel
khelo,khaoya
khelen,khel
kheli,khel
khetam,khaoya
khete,khaoya
kheto,khaoya
kheten,khaoya
kheti,khaoya
khawar,khaoya
khacchilam,khaoya
khacchile,khaoya
khacchilo,khaoya
khacchilen,khaoya
khacchili,khaoya
kheyechilam,khaoya
kheyechile,khaoya
kheyechilo,khaoya
kheyechilen,khaoya
kheyechili,khaoya
khabo,khaoya
khabe,khaoya
khaben,khaoya
khabi,khaoya
korben,kor
korechen,kor
korchis,kor
koris,kor
korche,kor
korten,kor
korchilo,kor
korechili,kor
korecho,kor
korchen,kor
korchile,kor
korto,kor
korlen,kor
korechi,kor
korte,kor
koren,kor
kortam,kor
korli,kor
korechilam,kor
kor,kor
korbe,kor
korbo,kor
korlo,kor
koreche,kor
korchi,kor
korle,kor
kori,kor
korchilen,kor
korbi,kor
korechile,kor
korti,kor
korechilo,kor
korlam,kor
korchili,kor
korcho,kor
korechilen,kor
kore,kor
korchilam,kor
koracchilam,kor
korale,kor
korali,kor
koriyechili,kor
koraccho,kor
korteche,kor
koriyechilo,kor
koriyechi,kor
koraten,kor
koracchili,kor
korate,kor
koriyechis,kor
korai,kor
koralo,kor
koriyechile,kor
koray,kor
korabe,kor
korleo,kor
korot,kor
korabi,kor
koracche,kor
korato,kor
koriyeche,kor
kora,kor
koralen,kor
koriyechen,kor
koratam,kor
koracchi,kor
koran,kor
koriyechilam,kor
korao,kor
koras,kor
koracchile,kor
koralam,kor
koriyechilen,kor
koraben,kor
koracchen,kor
korabo,kor
korati,kor
koracchilen,kor
koriyecho,kor
koracchis,kor
koracchilo,kor
gorben,gor
gorechen,gor
gorechis,gor
goris,gor
gorche,gor
gorten,gor
gorchilo,gor
gorechili,gor
gorecho,gor
gorchen,gor
gorchile,gor
gorto,gor
gorlen,gor
gorechi,gor
gorte,gor
gorchis,gor
goren,gor
gortam,gor
gorli,gor
gorechilam,gor
gor,gor
gorbe,gor
gorbo,gor
gorlo,gor
goreche,gor
gorchi,gor
gorle,gor
gori,gor
gorchilen,gor
gorbi,gor
gorechile,gor
gorti,gor
gorechilo,gor
gorlam,gor
gorchili,gor
gorcho,gor
gorechilen,gor
gore,gor
gorchilam,gor
goracchilam,gor
gorale,gor
gorali,gor
goriyechili,gor
goraccho,gor
goriyechilo,gor
goriyechi,gor
goraten,gor
goracchili,gor
gorate,gor
goriyechis,gor
gorai,gor
goralo,gor
goriyechile,gor
goray,gor
gorabe,gor
gorabi,gor
goracche,gor
gorato,gor
goriyeche,gor
gora,gor
goralen,gor
goriyechen,gor
goratam,gor
goracchi,gor
goran,gor
goriyechilam,gor
gorao,gor
goras,gor
goracchile,gor
goralam,gor
goriyechilen,gor
goraben,gor
goracchen,gor
gorabo,gor
gorati,gor
goracchilen,gor
goriyecho,gor
goracchis,gor
goracchilo,gor
chorben,chor
chorechen,chor
chorechis,chor
choris,chor
chorche,chor
chorten,chor
chorchilo,chor
chorechili,chor
choreso,chor
chorchen,chor
chorchile,chor
chorto,chor
chorlen,chor
chorechi,chor
chorte,chor
chorchis,chor
choren,chor
chortam,chor
chorli,chor
chorechilam,chor
chor,chor
chorbe,chor
chorbo,chor
chorlo,chor
choreche,chor
chorchi,chor
chorle,chor
chori,chor
chorchilen,chor
chorbi,chor
chorechile,chor
chorti,chor
chorechilo,chor
chorlam,chor
chorchili,chor
chorcho,chor
chorechilen,chor
chore,chor
chorchilam,chor
choracchilam,chor
chorale,chor
chorali,chor
choriyechili,chor
choraccho,chor
choriyechilo,chor
choriyechi,chor
choraten,chor
choracchili,chor
chorate,chor
choriyechis,chor
chorai,chor
choralo,chor
choriyechile,chor
choray,chor
chorabe,chor
chorabi,chor
choracche,chor
chorato,chor
choriyeche,chor
chora,chor
choralen,chor
choriyechen,chor
choratam,chor
choracchi,chor
choran,chor
choriyechilam,chor
chorao,chor
choras,chor
choracchile,chor
choralam,chor
choriyechilen,chor
choraben,chor
choracchen,chor
chorabo,chor
chorati,chor
choracchilen,chor
choriyecho,chor
choracchis,chor
choracchil,chor
corben,cor
coren,cor
corechis,cor
coris,cor
corche,cor
corchilo,cor
corechili,cor
coreso,cor
corchen,cor
corchile,cor
corto,cor
corlen,cor
corechi,cor
corte,cor
corchis,cor
cortam,cor
corli,cor
corechilam,cor
cor,cor
corbe,cor
corbo,cor
corlo,cor
coreche,cor
corchi,cor
corle,cor
cori,cor
corchilen,cor
corbi,cor
corechile,cor
corti,cor
corechilo,cor
corlam,cor
corchili,cor
corcho,cor
corechilen,cor
core,cor
corchilam,cor
coracchilam,cor
corale,cor
corali,cor
coriyecchili,cor
coraccho,cor
coriyecchilo,cor
coriyecchi,cor
coraten,cor
coracchili,cor
corate,cor
coriyechis,cor
corai,cor
coralo,cor
coriyecchile,cor
coray,cor
